-62 42.5 #Rays=1079; 20 s
-62 42.5 #Rays=1231; 22 s
-62 42.5 #Rays=1428; 25 s
-62 42.5 #Rays=1532; 27 s
-62 42.5 #Rays=1686; 30 s
-62 42.5 #Rays=1964; 34 s
-62 42.5 #Rays=2063; 40 s
-62 42.5 #Rays=2154; 45 s
-62 42.5 #Rays=2234; 50 s
-62 42.5 #Rays=2207; 59 s
-62 42.5 #Rays=2222; 67 s
-62 42.5 #Rays=2251; 77 s
-62 42.5 #Rays=2142; 87 s
-62 42.5 #Rays=2088; 100 s
-62 42.5 #Rays=2035; 111 s
-62 42.5 #Rays=1974; 125 s
-62 42.5 #Rays=1847; 143 s
-62 42.5 #Rays=1744; 167 s
-62 42.5 #Rays=1582; 182 s
-62 42.5 #Rays=1515; 200 s
